placeID;Days1;Days2;Days3;Days4;Days5
135111;Mon;Tue;Wed;Thu;Fri
135111;Sat;;;;
135111;Sun;;;;
135110;Mon;Tue;Wed;Thu;Fri
135110;Sat;;;;
135110;Sun;;;;
135109;Mon;Tue;Wed;Thu;Fri
135109;Sat;;;;
135109;Sun;;;;
135108;Mon;Tue;Wed;Thu;Fri
135108;Sat;;;;
135108;Sun;;;;
135107;Mon;Tue;Wed;Thu;Fri
135107;Sat;;;;
135107;Sun;;;;
135106;Mon;Tue;Wed;Thu;Fri
135106;Sat;;;;
135106;Sun;;;;
135105;Mon;Tue;Wed;Thu;Fri
135105;Sat;;;;
135105;Sun;;;;
135104;Mon;Tue;Wed;Thu;Fri
135104;Sat;;;;
135104;Sun;;;;
135103;Mon;Tue;Wed;Thu;Fri
135103;Sat;;;;
135103;Sun;;;;
135102;Mon;Tue;Wed;Thu;Fri
135102;Sat;;;;
135102;Sun;;;;
135101;Mon;Tue;Wed;Thu;Fri
135101;Sat;;;;
135101;Sun;;;;
135100;Mon;Tue;Wed;Thu;Fri
135100;Sat;;;;
135100;Sun;;;;
135099;Mon;Tue;Wed;Thu;Fri
135099;Sat;;;;
135099;Sun;;;;
135098;Mon;Tue;Wed;Thu;Fri
135098;Sat;;;;
135098;Sun;;;;
135097;Mon;Tue;Wed;Thu;Fri
135097;Sat;;;;
135097;Sun;;;;
135094;Mon;Tue;Wed;Thu;Fri
135094;Sat;;;;
135094;Sun;;;;
135093;Mon;Tue;Wed;Thu;Fri
135093;Sat;;;;
135093;Sun;;;;
135092;Mon;Tue;Wed;Thu;Fri
135092;Sat;;;;
135092;Sun;;;;
135091;Mon;Tue;Wed;Thu;Fri
135091;Sat;;;;
135091;Sun;;;;
135090;Mon;Tue;Wed;Thu;Fri
135090;Sat;;;;
135090;Sun;;;;
135089;Mon;Tue;Wed;Thu;Fri
135089;Sat;;;;
135089;Sun;;;;
135088;Mon;Tue;Wed;Thu;Fri
135088;Sat;;;;
135088;Sun;;;;
135086;Mon;Tue;Wed;Thu;Fri
135086;Sat;;;;
135086;Sun;;;;
135085;Mon;Tue;Wed;Thu;Fri
135085;Sat;;;;
135085;Sun;;;;
135084;Mon;Tue;Wed;Thu;Fri
135084;Sat;;;;
135084;Sun;;;;
135082;Mon;Tue;Wed;Thu;Fri
135082;Sat;;;;
135082;Sun;;;;
135081;Mon;Tue;Wed;Thu;Fri
135081;Sat;;;;
135081;Sun;;;;
135080;Mon;Tue;Wed;Thu;Fri
135080;Sat;;;;
135080;Sun;;;;
135079;Mon;Tue;Wed;Thu;Fri
135079;Sat;;;;
135079;Sun;;;;
135078;Mon;Tue;Wed;Thu;Fri
135078;Sat;;;;
135078;Sun;;;;
135077;Mon;Tue;Wed;Thu;Fri
135077;Sat;;;;
135077;Sun;;;;
135076;Mon;Tue;Wed;Thu;Fri
135076;Sat;;;;
135076;Sun;;;;
135075;Mon;Tue;Wed;Thu;Fri
135075;Sat;;;;
135075;Sun;;;;
135074;Mon;Tue;Wed;Thu;Fri
135074;Sat;;;;
135074;Sun;;;;
135073;Mon;Tue;Wed;Thu;Fri
135073;Sat;;;;
135073;Sun;;;;
135072;Mon;Tue;Wed;Thu;Fri
135072;Sat;;;;
135072;Sun;;;;
135071;Mon;Tue;Wed;Thu;Fri
135071;Sat;;;;
135071;Sun;;;;
135070;Mon;Tue;Wed;Thu;Fri
135070;Sat;;;;
135070;Sun;;;;
135069;Mon;Tue;Wed;Thu;Fri
135069;Sat;;;;
135069;Sun;;;;
135068;Mon;Tue;Wed;Thu;Fri
135068;Sat;;;;
135068;Sun;;;;
