"","placeID","distPoint1","distPoint2","distPoint3","classCity","isSmoking","foodCount","American","Asian","Bar","Cafe-Breakfast","Europea","Fast_Food","International","Mexican","Others","hasParking","payCount","rating","foodRating","serviceRating","area","Rambience","price","accessibility","dress_code","alcohol","clusterHclust","name"
"1",134999,210.749187364859,4.09959860325945,85.7703932190508,"B",FALSE,1,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",FALSE,-1,1.6,1.6,1.6,"closed","familiar","medium","no_accessibility","informal","No_Alcohol_Served","1","Kiku Cuernavaca"
"2",132825,0.348859370196696,206.499411692205,207.169042416918,"A",FALSE,1,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",FALSE,1,1.28125,1.34375,0.9375,"open","familiar","low","completely","informal","No_Alcohol_Served","2","puesto de tacos"
"3",135106,1.07629843217991,205.76294595901,206.388126063257,"A",TRUE,1,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",FALSE,3,1.2,1.2,1.2,"open","familiar","medium","partially","informal","Wine-Beer","2","El Rincón de San Francisco"
"4",132667,205.827396317442,86.3621819771452,1.71688864079223,"C",FALSE,1,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",FALSE,1,1.25,2,1.25,"closed","familiar","low","completely","informal","No_Alcohol_Served","3","little pizza Emilio Portes Gil"
"5",132613,205.638949063673,86.3596102692473,1.9053323362261,"C",TRUE,1,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",TRUE,1,1.16666666666667,1.33333333333333,1,"closed","familiar","medium","completely","informal","No_Alcohol_Served","3","carnitas_mata"
"6",135040,1.83489576142545,204.994784003838,205.723112424677,"A",FALSE,-1,"OTROS","OTROS","OTROS","OTROS","OTROS","OTROS","OTROS","OTROS","OTROS",TRUE,3,0.25,0.25,0.25,"closed","familiar","high","no_accessibility","informal","Wine-Beer","4","Restaurant los Compadres"
"7",132732,204.959140229208,86.3664570043504,2.59317313893246,"C",FALSE,1,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",FALSE,1,0.625,0.875,1,"open","familiar","low","completely","casual","No_Alcohol_Served","3","Taqueria EL amigo "
"8",132875,0.921650579592678,207.660318330961,208.344092273343,"A",TRUE,1,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",TRUE,5,1.125,1.25,1.125,"open","familiar","high","no_accessibility","informal","Wine-Beer","2","shi ro ie"
"9",132609,205.573800578045,86.4878497058052,2.0201495657447,"C",FALSE,1,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",TRUE,1,0.6,0.6,0.6,"closed","quiet","low","completely","informal","No_Alcohol_Served","3","Pollo_Frito_Buenos_Aires"
"10",135082,7.87625348599953,199.245915233599,199.638418422501,"A",FALSE,-1,"OTROS","OTROS","OTROS","OTROS","OTROS","OTROS","OTROS","OTROS","OTROS",FALSE,1,0.777777777777778,0.777777777777778,0.666666666666667,"closed","familiar","medium","no_accessibility","informal","No_Alcohol_Served","4","la Estrella de Dimas"
